rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4434;Ober St. Veit;U4;HÜTTELDORF       ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.441082
4404;Friedensbrücke;U4;HÜTTELDORF       ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.441094
4428;Hietzing;U4;HÜTTELDORF       ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.441106
4412;Landstraße;U4;HÜTTELDORF    ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.441118
4418;Kettenbrückengasse;U4;HÜTTELDORF;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.441129
4438;Längenfeldgasse;U4;HÜTTELDORF;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.441143
4402;Heiligenstadt;U4;HÜTTELDORF       ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.441154
4406;Roßauer Lände;U4;HÜTTELDORF       ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.441167
4430;Braunschweiggasse;U4;HÜTTELDORF       ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.441179
4420;Pilgramgasse;U4;HÜTTELDORF;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.441195
4424;Meidling Hauptstraße;U4;HÜTTELDORF       ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.441207
4615;Bahnhof Meidling;U6;FLORIDSDORF;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.441218
4616;Niederhofstraße;U6;FLORIDSDORF;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441231
4617;Längenfeldgasse;U6;FLORIDSDORF;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.441242
4603;Nußdorfer Straße;U6;SIEBENHIRTEN;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.441254
4613;Niederhofstraße;U6;SIEBENHIRTEN;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441266
4610;Westbahnhof;U6;SIEBENHIRTEN;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441277
4607;Josefstädter Straße;U6;SIEBENHIRTEN;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441289
4604;Währinger Straße - Volksoper;U6;SIEBENHIRTEN;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441301
4614;Bahnhof Meidling;U6;SIEBENHIRTEN;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.441313
4611;Gumpendorfer Straße;U6;SIEBENHIRTEN;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.441325
4608;Thaliastraße;U6;SIEBENHIRTEN;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.441336
4605;Michelbeuern - AKH;U6;SIEBENHIRTEN;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.441348
4612;Längenfeldgasse;U6;SIEBENHIRTEN;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.441358
4609;Burggasse - Stadthalle;U6;SIEBENHIRTEN;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.441370
4606;Alser Straße;U6;SIEBENHIRTEN;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.441383
4909;Volkstheater;U3;SIMMERING     ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:33.503319
4910;Herrengasse;U3;SIMMERING        ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:33.503331
4901;Schlachthausgasse;U3;OTTAKRING        ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:33.503343
4905;Stubentor;U3;OTTAKRING        ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:33.503355
4902;Kardinal-Nagl-Platz;U3;OTTAKRING        ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:33.503367
4906;Stephansplatz;U3;OTTAKRING     ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:33.503379
4907;Herrengasse;U3;OTTAKRING        ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:33.503390
4903;Rochusgasse;U3;OTTAKRING        ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:33.503402
4908;Volkstheater;U3;OTTAKRING     ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:33.503415
4900;Erdberg;U3;OTTAKRING        ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:33.503428
4904;Landstraße;U3;OTTAKRING     ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:33.503440
4618;Gumpendorfer Straße;U6;FLORIDSDORF;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:33.503451
4638;Alterlaa;U6;FLORIDSDORF;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:33.503463
4641;Jägerstraße;U6;FLORIDSDORF;2026-02-07T15:47:15.000+0100;2026-02-07T15:47:15.000+0100;7;2026-02-07T15:40:33.503474
4625;Währinger Straße - Volksoper;U6;FLORIDSDORF;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:33.503485
4635;Siebenhirten;U6;FLORIDSDORF;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:33.503497
4622;Josefstädter Straße;U6;FLORIDSDORF;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:33.503509
4619;Westbahnhof;U6;FLORIDSDORF;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:33.503520
4642;Dresdner Straße;U6;FLORIDSDORF;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:33.503531
4626;Nußdorfer Straße;U6;FLORIDSDORF;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:33.503546
4636;Perfektastraße;U6;FLORIDSDORF;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:33.503558
4639;Am Schöpfwerk;U6;FLORIDSDORF;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:33.503569
4623;Alser Straße;U6;FLORIDSDORF;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:33.503581
4620;Burggasse - Stadthalle;U6;FLORIDSDORF;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:33.503595
4643;Handelskai;U6;FLORIDSDORF;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:33.503606
4627;Spittelau;U6;FLORIDSDORF;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:33.503619
4637;Erlaaer Straße;U6;FLORIDSDORF;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:33.503630
4640;Tscherttegasse;U6;FLORIDSDORF;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:33.503642
4624;Michelbeuern - AKH;U6;FLORIDSDORF;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:33.503654
4621;Thaliastraße;U6;FLORIDSDORF;2026-02-07T15:46:15.000+0100;2026-02-07T15:46:15.000+0100;6;2026-02-07T15:40:33.503665
4644;Neue Donau;U6;FLORIDSDORF;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:33.503678
4630;Am Schöpfwerk;U6;SIEBENHIRTEN;2026-02-07T15:47:15.000+0100;2026-02-07T15:47:15.000+0100;7;2026-02-07T15:40:33.503692
4633;Perfektastraße;U6;SIEBENHIRTEN;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:33.503703
4649;Dresdner Straße;U6;SIEBENHIRTEN;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:33.503714
